trialNumber,trialMode,testCaseKey,testCaseTitle,trialName,startedAt,finishedAt,targetDurationSeconds,frames,durationSeconds,obstacleScenario,sensorNoise,robotMaxVelocity,cameraRange,dynamicObstaclesEnabled,dynamicObstacleSpeed,meanTrackingError,trackingRmse,maxTrackingError,meanPredictionError,predictionRmse,detectionRate,acquisitionRate,lineBlockedRate,occlusionRate,meanAstarPlanningTimeMs,meanDijkstraPlanningTimeMs,meanAstarExploredNodes,meanDijkstraExploredNodes,meanAstarPathLength,meanDijkstraPathLength,collisionCount,dynamicReplans
1.0000,"testing","baseline","01 · Baseline tracking","baseline","2026-09-06T16:47:56.833Z","2026-09-06T16:48:00.680Z",30.0000,550.0000,3.8450,"medium",25.0000,2.8000,700.0000,0.0000,1.0000,144.3308,160.8026,225.7110,8.7033,10.1246,26.7273,26.7273,72.7273,17.6364,0.0524,0.1260,3.4145,23.8255,44.5387,44.5399,0.0000,0.0000
2.0000,"testing","baseline","01 · Baseline tracking","baseline","2026-09-09T14:31:12.773Z","2026-09-09T14:31:42.778Z",30.0000,2192.0000,30.0040,"medium",25.0000,2.8000,700.0000,0.0000,1.0000,255.9102,322.5013,784.5119,83.4126,175.4073,55.3376,90.3285,24.4982,24.4526,0.1251,0.2975,34.3276,127.6533,284.8968,285.1157,0.0000,0.0000
3.0000,"testing","baseline","01 · Baseline tracking","baseline","2026-09-09T15:22:16.196Z","2026-09-09T15:26:11.926Z",30.0000,1406.0000,235.7290,"medium",25.0000,2.8000,700.0000,0.0000,1.0000,120.1764,131.0402,297.0791,12.8587,19.2125,31.7212,36.9844,62.0910,19.8435,0.0303,0.0888,3.5775,22.4452,45.6921,45.8855,0.0000,0.0000
4.0000,"testing","baseline","01 · Baseline tracking","baseline","2026-09-09T16:00:18.552Z","2026-09-09T16:00:19.529Z",30.0000,60.0000,0.9690,"medium",25.0000,2.8000,700.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.0000,"testing","baseline","01 · Baseline tracking","baseline","2026-09-09T16:00:25.730Z","2026-09-09T16:00:55.738Z",30.0000,1797.0000,30.0080,"medium",25.0000,2.8000,700.0000,0.0000,1.0000,141.6923,162.1756,329.7180,17.6841,30.2918,60.1558,76.1269,23.7618,21.8141,0.0477,0.1404,10.7468,46.7368,123.3647,123.1798,0.0000,0.0000
6.0000,"testing","high_noise","02 · High sensor noise","high_noise","2026-09-09T16:02:17.898Z","2026-09-09T16:02:47.911Z",30.0000,1782.0000,30.0130,"medium",70.0000,2.8000,700.0000,0.0000,1.0000,138.0986,157.7662,344.4980,33.6842,46.5762,46.0157,73.7374,33.5017,26.0382,0.0394,0.1663,10.0976,57.3771,120.4716,120.4811,0.0000,0.0000
7.0000,"testing","line_of_sight_blocked","03 · Line-of-sight blocked","line_of_sight_blocked","2026-09-09T16:05:52.307Z","2026-09-09T16:06:22.321Z",30.0000,1800.0000,30.0140,"medium",25.0000,2.8000,700.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,24.2778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.0000,"testing","line_of_sight_blocked","03 · Line-of-sight blocked","line_of_sight_blocked","2026-09-09T16:15:14.514Z","2026-09-09T16:15:44.519Z",30.0000,1798.0000,30.0040,"medium",25.0000,2.8000,700.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,25.8065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.0000,"testing","line_of_sight_blocked","03 · Line-of-sight blocked","line_of_sight_blocked","2026-09-09T16:15:49.234Z","2026-09-09T16:16:19.248Z",30.0000,1800.0000,30.0130,"medium",25.0000,2.8000,700.0000,0.0000,1.0000,233.6441,297.2217,673.1665,34.4346,76.6385,40.9444,62.8889,40.7778,23.1111,0.0561,0.2044,15.6733,75.9967,156.6712,156.6830,0.0000,0.0000
10.0000,"testing","line_of_sight_blocked","03 · Line-of-sight blocked","line_of_sight_blocked","2026-09-09T16:18:24.491Z","2026-09-09T16:19:24.509Z",60.0000,3552.0000,60.0180,"medium",25.0000,2.8000,700.0000,0.0000,1.0000,277.8292,332.0938,697.2036,92.4609,191.3919,29.4764,55.9403,59.5439,26.0417,0.0634,0.1737,18.4930,69.7745,160.0586,160.0986,0.0000,0.0000
11.0000,"testing","dense_obstacles","04 · Dense obstacle planning","dense_obstacles","2026-09-09T16:23:38.703Z","2026-09-09T16:24:38.706Z",60.0000,3518.0000,60.0020,"high",25.0000,2.8000,700.0000,0.0000,1.0000,100.4121,119.1222,329.0250,31.2500,68.2977,56.3673,79.2211,21.9727,27.5725,0.0738,0.1286,16.5560,38.5603,117.6388,117.7722,0.0000,0.0000
12.0000,"testing","dynamic_obstacles","05 · Dynamic obstacle replanning","dynamic_obstacles","2026-09-09T16:25:50.910Z","2026-09-09T16:27:14.990Z",60.0000,2116.0000,84.0780,"medium",25.0000,2.8000,700.0000,1.0000,1.5000,464.7908,475.2800,695.6531,392.9524,460.6117,1.3705,56.0491,94.4707,27.8355,0.2410,0.4148,57.4792,131.8757,369.3056,369.3642,0.0000,401.0000
